Team, Trial, Modality, Chart Type, Task Type, Task Number, Trial Time, Event Type, Participant, Action, Action Target, Action Intent, Utterance Purpose, Deictic Pronouns, Spatial Deictic
1,13,Desktop,BarChart,Closed,T6,0:13,Gesture,2,Hand wave,c,c,,,
1,13,Desktop,BarChart,Closed,T6,0:37,Gesture,1,Hand wave,c,d,,,
1,13,Desktop,BarChart,Closed,T6,0:39,Gesture,2,Hand wave,c,d,,,
1,13,Desktop,BarChart,Closed,T6,0:40,Gesture,1,Hand wave,c,d,,,
1,14,Desktop,ScatterPlot,Closed,T1,0:10,Gesture,2,Point,c,r,,,
1,14,Desktop,ScatterPlot,Closed,T1,0:31,Gesture,2,Point,c,r,,,
1,14,Desktop,ScatterPlot,Closed,T1,0:51,Gesture,2,Point,c,r,,,
1,14,Desktop,ScatterPlot,Closed,T1,1:15,Gesture,2,Point,c,r,,,
1,15,Desktop,BarChart,Open,T7,0:33,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:34,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:35,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:36,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:46,Gesture,1,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:48,Gesture,1,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:49,Gesture,1,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,0:52,Gesture,2,Palm up,b,c,,,
1,15,Desktop,BarChart,Open,T7,1:00,Gesture,2,Point,c,v,,,
1,15,Desktop,BarChart,Open,T7,1:07,Gesture,1,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,1:10,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,1:15,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,1:16,Gesture,1,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,1:24,Gesture,2,Finger wave,c,d,,,
1,15,Desktop,BarChart,Open,T7,1:42,Gesture,2,Point,c,r,,,
1,15,Desktop,BarChart,Open,T7,2:00,Gesture,2,Draw circle with finger,b,d,,,
1,16,Desktop,Network,Open,T12,0:18,Gesture,2,Finger wave,c,v,,,
1,16,Desktop,Network,Open,T12,0:19,Gesture,2,Palm up,c,c,,,
1,16,Desktop,Network,Open,T12,0:26,Gesture,2,Vertical Cut,c,d,,,
1,16,Desktop,Network,Open,T12,0:37,Gesture,2,Vertical Cut,c,d,,,
1,16,Desktop,Network,Open,T12,0:48,Gesture,2,Point,c,r,,,
1,16,Desktop,Network,Open,T12,1:13,Gesture,2,Palm up,b,c,,,
1,16,Desktop,Network,Open,T12,1:40,Gesture,1,Hand wave,c,d,,,
1,16,Desktop,Network,Open,T12,1:47,Gesture,2,Hand wave,b,d,,,
1,17,Desktop,BarChart,Closed,T5,0:44,Gesture,2,Point,c,r,,,
1,17,Desktop,BarChart,Closed,T5,0:50,Gesture,2,Point,c,r,,,
1,1,Hololens,ScatterPlot,Closed,T1,0:04,Gesture,1,Point,c,r,,,
